iter	Passed	Remaining
0	257	256879
1	259	129413
2	263	87465
3	265	66044
4	272	54208
5	310	51460
6	312	44387
7	315	39085
8	317	34943
9	324	32082
10	326	29372
11	328	27074
12	331	25171
13	335	23662
14	338	22248
15	341	20979
16	343	19871
17	345	18855
18	377	19512
19	380	18630
20	386	18000
21	388	17265
22	390	16594
23	392	15972
24	394	15401
25	401	15042
26	403	14545
27	418	14525
28	421	14100
29	424	13729
30	443	13876
31	451	13659
32	453	13295
33	456	12981
34	467	12903
35	471	12632
36	475	12381
37	482	12217
38	484	11946
39	487	11688
40	489	11448
41	495	11308
42	517	11508
43	519	11295
44	523	11103
45	529	10977
46	531	10774
47	533	10581
48	535	10397
49	542	10307
50	545	10150
51	550	10038
52	552	9879
53	559	9802
54	582	10016
55	588	9912
56	596	9869
57	598	9725
58	601	9587
59	607	9519
60	609	9384
61	611	9253
62	615	9154
63	619	9063
64	622	8953
65	624	8842
66	636	8868
67	639	8771
68	642	8663
69	643	8555
70	646	8452
71	654	8429
72	656	8333
73	658	8237
74	660	8142
75	662	8049
76	681	8173
77	685	8103
78	688	8026
79	704	8107
80	706	8019
81	715	8014
82	717	7922
83	719	7844
84	721	7767
85	723	7692
86	729	7659
87	734	7612
88	738	7555
89	740	7486
90	747	7469
91	750	7409
92	770	7514
93	780	7521
94	783	7464
95	785	7398
96	788	7336
97	794	7313
98	796	7251
99	800	7201
100	802	7141
101	804	7084
102	808	7038
103	828	7137
104	832	7092
105	834	7041
106	837	6991
107	845	6982
108	847	6928
109	850	6884
110	854	6839
111	861	6831
112	865	6795
113	868	6746
114	870	6696
115	882	6729
116	884	6675
117	893	6675
118	897	6641
119	899	6594
120	901	6550
121	906	6522
122	908	6477
123	911	6441
124	914	6399
125	916	6359
126	919	6319
127	922	6282
128	942	6365
129	945	6327
130	989	6561
131	991	6521
132	993	6478
133	998	6454
134	1001	6415
135	1003	6373
136	1005	6336
137	1008	6296
138	1014	6286
139	1017	6250
140	1053	6421
141	1055	6377
142	1058	6343
143	1065	6334
144	1068	6297
145	1071	6265
146	1079	6265
147	1081	6227
148	1083	6190
149	1086	6154
150	1092	6140
151	1094	6105
152	1096	6070
153	1131	6213
154	1133	6177
155	1135	6143
156	1141	6131
157	1143	6095
